time,setpoint,measurement,xhat,voltage
4.14,2561.86295,2485.840652,2603.37787,5.679462345
4.16,2561.86295,2574.304732,2618.498035,5.500814645
4.18,2561.851757,2520.486514,2586.68892,5.876831773
4.2,2561.858847,2520.486514,2558.986265,6.204267065
4.22,2561.87004,2574.304732,2589.990182,5.837839958
4.24,2561.858847,2485.840652,2583.397545,5.915845157
4.26,2561.858847,2669.297526,2579.16321,5.9657945
4.28,2561.87004,2574.304732,2561.42874,6.175509243
4.3,2561.87004,2574.304732,2542.76573,6.396265073
4.32,2562.223201,2574.304732,2579.582531,5.962509588
4.34,2562.222927,2356.285439,2518.062134,6.693349455
4.36,2562.582906,2494.412516,2478.562945,7.161870639
4.38,2562.582906,2289.176043,2453.216831,7.465106936
4.4,2563.064101,2363.985718,2424.267387,7.809425272
4.42,2563.064101,2363.985718,2403.636179,8.058124982
4.44,2563.064101,2363.985718,2378.258946,8.358148773
4.46,2563.071191,2435.621649,2395.371117,8.155869535
4.48,2563.516933,2468.872456,2413.032245,7.949050315
4.5,2563.509842,2435.621649,2469.887008,7.281284682
4.52,2563.738413,2460.474931,2532.906898,6.5371373
4.54,2563.95987,2669.297526,2524.601816,6.638546937
4.56,2563.95987,2574.304732,2541.570822,6.440132547
4.58,2563.73105,2669.297526,2552.462699,6.31038223
4.6,2563.73105,2547.111372,2551.857685,6.315259149
4.62,2563.530592,2574.304732,2611.137632,5.613559642
4.64,2563.745231,2630.47138,2623.617783,5.464938244
4.66,2563.73814,2520.486514,2605.140693,5.68548917
4.68,2563.523501,2547.111372,2603.641138,5.702227505
4.7,2563.530592,2494.412516,2610.643999,5.617331319
4.72,2563.737296,2574.304732,2589.210177,5.871690143
4.74,2563.522336,2574.304732,2575.451899,6.035483013
4.76,2563.529426,2669.297526,2574.191868,6.04827215
4.78,2563.74356,2574.304732,2573.388161,6.058762086
4.8,2563.74356,2494.412516,2572.883824,6.066854463
4.82,2563.528938,2574.304732,2572.554851,6.069824123
4.84,2563.742987,2574.304732,2550.046607,6.334711629
4.86,2563.735896,2520.486514,2557.893924,6.24403487
4.88,2563.528279,2468.872456,2589.431426,5.8702208
4.9,2563.528279,2669.297526,2583.169664,5.942185833
4.92,2563.742569,2574.304732,2597.502739,5.773650443
4.94,2563.521012,2547.111372,2580.777549,5.972566978
4.96,2563.528102,2574.304732,2577.611837,6.007820525
4.98,2563.735478,2669.297526,2575.584162,6.032751933
5,2563.521012,2640.071641,2600.791705,5.735877951
5.02,2563.528102,2669.297526,2590.464705,5.855866751
